message_key,message_text,locale,deleted,version
msg.form.document.title.new,New Document,en_US,FALSE,0
msg.form.document.title.import,Import Document,en_US,FALSE,0
msg.form.button.startimport,Start Import,en_US,FALSE,0
msg.list.button.import,Import,en_US,FALSE,0
msg.page.document.details,Document Details,en_US,FALSE,0
msg.form.button.kanban,KanbanView,en_US,FALSE,0

msg.form.case.new,New Case,en_US,FALSE,0
msg.form.case.detail,Case Details,en_US,FALSE,0
msg.form.case.edit,Case Edit,en_US,FALSE,0

msg.form.button.case.save,Save,en_US,FALSE,0
msg.form.button.case.list,List,en_US,FALSE,0
msg.form.button.case.new,New,en_US,FALSE,0
msg.form.button.case.edit,Edit,en_US,FALSE,0
msg.form.button.case.copy,Copy,en_US,FALSE,0
msg.form.button.case.delete,Delete,en_US,FALSE,0
msg.form.button.case.convert,Convert to FAQ,en_US,FALSE,0

msg.form.case.basicinfo,Basic Information,en_US,FALSE,0

msg.form.case.summary,Summary,en_US,FALSE,0
msg.form.case.title,Title,en_US,FALSE,0

msg.form.case.status_id,Status,en_US,FALSE,0
msg.form.case.priority_id,Priority,en_US,FALSE,0

msg.form.case.channel_id,Channel,en_US,FALSE,0
msg.form.case.contact_id,Contact,en_US,FALSE,0
msg.form.case.account_id,Account,en_US,FALSE,0
msg.form.case.product_id,Product,en_US,FALSE,0

msg.page.activity.new,New Activity,en_US,FALSE,0
msg.page.activity.details,Activity Details,en_US,FALSE,0
msg.page.activity.edit,Edit Activity,en_US,FALSE,0
msg.page.activity.details.recycle, Activity Details - Recycle,en_US,FALSE,0
msg.page.activity.list, Activity List,en_US,FALSE,0
msg.page.activity.copy, Copy Activity,en_US,FALSE,0

msg.list.activity.desc,Activities,en_US,FALSE,0
msg.list.activity.label,Activities,en_US,FALSE,0

msg.list.activity.subject,Subject,en_US,FALSE,0
msg.list.activity.startDateTime,Start,en_US,FALSE,0 
msg.list.activity.dueDateTime,End,en_US,FALSE,0

msg.form.activity.details, Activity Details,en_US,FALSE,0
msg.page.activity.edit, Activity Edit,en_US,FALSE,0

msg.form.lead.convert,Convert Lead,en_US,FALSE,0

msg.form.convertLead.opportunity, Opportunity,en_US,FALSE,0
msg.form.convertLead.createOpportunity,Create Opportunity,en_US,FALSE,0
msg.form.convertLead.opportunityName,Opportunity Name,en_US,FALSE,0
msg.form.convertLead.opportunityAmount,Opportunity Amount,en_US,FALSE,0
msg.form.convertLead.expectedCloseDate,Expected Close Date,en_US,FALSE,0
msg.form.convertLead.salesStage,Sales Stage,en_US,FALSE,0

msg.form.convertLead.contact,Contact,en_US,FALSE,0
msg.form.convertLead.createContact,Create Contact,en_US,FALSE,0

msg.form.convertLead.firstName,First Name,en_US,FALSE,0
msg.form.convertLead.lastName,Last Name,en_US,FALSE,0
msg.form.convertLead.primaryEmail,Primary Email,en_US,FALSE,0
msg.form.convertLead.contactType,Contact Type,en_US,FALSE,0
 
msg.form.convertLead.account,Account,en_US,FALSE,0
msg.form.convertLead.createAccount,Create Account,en_US,FALSE,0
msg.form.convertLead.accountName,Name,en_US,FALSE,0
msg.form.convertLead.annualRevenue,Annual Revenue,en_US,FALSE,0
msg.form.convertLead.industry,Industry,en_US,FALSE,0

msg.form.convertLead.copyRecordsTo,Copy Records To,en_US,FALSE,0
msg.form.convertLead.assignedTo,Assigned To,en_US,FALSE,0

msg.module.menu.service,Service,en_US,FALSE,0
msg.module.menu.account,Account,en_US,FALSE,0
msg.module.menu.case,Case,en_US,FALSE,0
msg.module.menu.contact,Contact,en_US,FALSE,0
msg.module.menu.document,Document,en_US,FALSE,0
msg.module.menu.lead,Lead,en_US,FALSE,0
msg.module.menu.listView,List View,en_US,FALSE,0
msg.module.menu.opportunity,Opportunity,en_US,FALSE,0


msg.module.menu.service.viewall,Services,en_US,FALSE,0
msg.form.convertLead.assignedTo,Assigned To,en_US,FALSE,0

msg.module.menu.notes,Notes,en_US,FALSE,0

msg.module.menu.notes.viewall,Notes,en_US,FALSE,0

msg.list.notes.desc,Notes,en_US,FALSE,0
msg.page.notes.notes,Notes,en_US,FALSE,0
msg.list.notes.description,Description,en_US,FALSE,0

msg.list.case.desc,Cases,en_US,FALSE,0

msg.list.button.case.new,New,en_US,FALSE,0
msg.list.button.case.edit,Edit,en_US,FALSE,0
msg.list.button.case.delete,Delete,en_US,FALSE,0
msg.list.case.title,Title,en_US,FALSE,0
msg.list.case.status,Status,en_US,FALSE,0
msg.list.case.priority,Priority,en_US,FALSE,0

msg.list.document.desc,Documents,en_US,FALSE,0
